Date,Open,High,Low,Close,Adj Close,Volume
2008-08-08,10.875000,11.122500,10.875000,11.072500,11.072500,1940800
2008-08-11,11.092500,11.352500,10.942500,11.245000,11.245000,1874000
2008-08-12,11.195000,11.252500,11.000000,11.047500,11.047500,1494800
2008-08-13,11.052500,11.345000,10.892500,11.007500,11.007500,2290000
2008-08-14,10.945000,11.460000,10.945000,11.210000,11.210000,2193600
2008-08-15,11.212500,11.322500,11.065000,11.142500,11.142500,1460400
2008-08-18,11.202500,11.202500,10.982500,11.100000,11.100000,1201600
2008-08-19,10.972500,11.132500,10.780000,10.857500,10.857500,1266800
2008-08-20,10.900000,10.935000,10.750000,10.860000,10.860000,991600
2008-08-21,10.732500,11.050000,10.732500,10.855000,10.855000,954400
2008-08-22,10.912500,11.082500,10.912500,11.065000,11.065000,959200
2008-08-25,11.000000,11.000000,10.752500,10.787500,10.787500,710800
2008-08-26,10.770000,10.910000,10.742500,10.822500,10.822500,1197600
2008-08-27,10.820000,11.055000,10.807500,10.970000,10.970000,1177600
2008-08-28,11.015000,11.150000,10.910000,11.072500,11.072500,1123200
2008-08-29,11.057500,11.100000,10.940000,11.002500,11.002500,858000
2008-09-02,11.062500,11.360000,11.025000,11.202500,11.202500,1996400
2008-09-03,11.210000,11.350000,11.037500,11.125000,11.125000,2099200
2008-09-04,11.062500,11.117500,10.877500,10.942500,10.942500,1405600
2008-09-05,10.867500,11.070000,10.655000,10.955000,10.955000,1647600
2008-09-08,10.765000,11.262500,10.765000,11.115000,11.115000,1116800
2008-09-09,11.125000,11.250000,10.967500,11.000000,11.000000,1739200
2008-09-10,11.052500,11.112500,10.900000,10.975000,10.975000,2865600
2008-09-11,10.820000,11.170000,10.715000,11.145000,11.145000,1172800
2008-09-12,11.132500,11.515000,11.102500,11.325000,11.325000,2562400
2008-09-15,10.787500,11.740000,10.750000,11.510000,11.510000,5102400
2008-09-16,11.342500,11.675000,11.250000,11.605000,11.605000,4268800
2008-09-17,11.507500,11.625000,11.155000,11.227500,11.227500,3113600
2008-09-18,11.375000,11.375000,10.595000,10.957500,10.957500,3594000
2008-09-19,11.362500,11.465000,10.680000,10.732500,10.732500,4387200
2008-09-22,10.682500,10.950000,10.562500,10.835000,10.835000,2201200
2008-09-23,10.880000,10.947500,10.357500,10.435000,10.435000,2562000
2008-09-24,10.500000,10.552500,10.187500,10.250000,10.250000,3156000
2008-09-25,10.490000,10.550000,10.165000,10.250000,10.250000,4736000
2008-09-26,10.065000,10.165000,9.760000,9.887500,9.887500,4496000
2008-09-29,9.840000,9.847500,9.295000,9.410000,9.410000,3984400
2008-09-30,9.532500,9.755000,9.365000,9.500000,9.500000,4607200
2008-10-01,9.377500,9.537500,9.377500,9.482500,9.482500,2575600
2008-10-02,9.482500,9.612500,9.375000,9.442500,9.442500,3928000
2008-10-03,9.487500,9.620000,9.377500,9.410000,9.410000,4718400
2008-10-06,9.285000,9.300000,8.380000,8.775000,8.775000,8681200
2008-10-07,8.797500,8.917500,8.435000,8.435000,8.435000,4107600
2008-10-08,8.267500,8.475000,7.937500,8.255000,8.255000,6614800
2008-10-09,8.272500,8.457500,8.040000,8.187500,8.187500,4252400
2008-10-10,7.930000,8.980000,7.795000,8.622500,8.622500,7524000
2008-10-13,8.942500,9.225000,8.815000,9.107500,9.107500,4586800
2008-10-14,9.315000,9.847500,8.625000,8.760000,8.760000,10630000
2008-10-15,8.672500,8.672500,8.180000,8.195000,8.195000,4842000
2008-10-16,7.925000,8.205000,7.552500,8.135000,8.135000,7071200
2008-10-17,7.967500,8.445000,7.827500,8.022500,8.022500,3628800
2008-10-20,8.115000,8.695000,8.050000,8.687500,8.687500,4758000
