Date,Open,High,Low,Close,Adj Close,Volume
2008-08-08,3.571667,3.991667,3.445000,3.871667,3.871667,40515000
2008-08-11,3.878333,4.348333,3.871667,4.326667,4.326667,25691400
2008-08-12,4.496667,4.811667,4.441667,4.538333,4.538333,41492400
2008-08-13,4.506667,4.540000,4.365000,4.498333,4.498333,12759000
2008-08-14,4.466667,5.266667,4.416667,4.996667,4.996667,70315800
2008-08-15,5.000000,5.031667,4.758333,4.771667,4.771667,28042800
2008-08-18,4.830000,4.990000,4.675000,4.765000,4.765000,13702200
2008-08-19,4.731667,5.000000,4.658333,4.676667,4.676667,11526600
2008-08-20,4.715000,5.123333,4.675000,5.035000,5.035000,19717200
2008-08-21,4.951667,4.995000,4.846667,4.886667,4.886667,15415200
2008-08-22,4.841667,4.975000,4.828333,4.921667,4.921667,13135800
2008-08-25,4.793333,4.916667,4.695000,4.730000,4.730000,10663800
2008-08-26,4.718333,4.845000,4.645000,4.708333,4.708333,10780800
2008-08-27,4.675000,4.773333,4.568333,4.613333,4.613333,7545600
2008-08-28,4.638333,4.680000,4.571667,4.578333,4.578333,11212800
2008-08-29,4.533333,4.741667,4.525000,4.580000,4.580000,8739600
2008-09-02,4.680000,4.680000,4.410000,4.456667,4.456667,13622400
2008-09-03,4.461667,4.600000,4.375000,4.405000,4.405000,11734200
2008-09-04,4.370000,4.408333,4.140000,4.175000,4.175000,15772200
2008-09-05,4.135000,4.315000,4.051667,4.263333,4.263333,13501800
2008-09-08,4.291667,4.393333,3.745000,3.983333,3.983333,20273400
2008-09-09,3.925000,4.100000,3.878333,3.933333,3.933333,24513600
2008-09-10,4.023333,4.026667,3.926667,4.001667,4.001667,15904800
2008-09-11,3.933333,4.145000,3.860000,4.096667,4.096667,14587200
2008-09-12,4.045000,4.113333,4.000000,4.050000,4.050000,21771600
2008-09-15,3.926667,4.168333,3.926667,3.950000,3.950000,20166600
2008-09-16,3.955000,4.115000,3.856667,3.945000,3.945000,12742200
2008-09-17,3.865000,3.998333,3.770000,3.851667,3.851667,23053200
2008-09-18,4.041667,4.750000,4.040000,4.523333,4.523333,41233200
2008-09-19,4.533333,5.083333,4.533333,5.065000,5.065000,56804400
2008-09-22,5.218333,5.263333,4.815000,4.935000,4.935000,26537400
2008-09-23,4.866667,5.331667,4.833333,5.250000,5.250000,41572800
2008-09-24,5.195000,5.406667,4.368333,5.176667,5.176667,24214800
2008-09-25,5.243333,5.498333,4.943333,5.455000,5.455000,14157000
2008-09-26,5.155000,5.416667,5.003333,5.240000,5.240000,9074400
2008-09-29,5.153333,5.186667,4.488333,4.680000,4.680000,11190600
2008-09-30,4.883333,5.081667,4.585000,5.041667,5.041667,8012400
2008-10-01,4.930000,5.220000,4.775000,5.201667,5.201667,15700800
2008-10-02,5.206667,5.288333,4.643333,4.783333,4.783333,11120400
2008-10-03,4.833333,5.381667,4.710000,5.326667,5.326667,17718600
2008-10-06,4.571667,4.983333,4.466667,4.850000,4.850000,30621000
2008-10-07,4.873333,4.916667,4.330000,4.600000,4.600000,16056600
2008-10-08,4.268333,4.745000,4.200000,4.441667,4.441667,13488600
2008-10-09,4.555000,4.603333,3.616667,3.896667,3.896667,16031400
2008-10-10,3.698333,4.331667,3.420000,4.136667,4.136667,13372200
2008-10-13,4.330000,4.583333,4.168333,4.445000,4.445000,10974600
2008-10-14,4.548333,4.666667,4.273333,4.350000,4.350000,11814000
2008-10-15,4.516667,4.516667,4.023333,4.026667,4.026667,13059000
2008-10-16,4.053333,4.141667,3.578333,3.833333,3.833333,15529800
2008-10-17,3.791667,3.998333,3.666667,3.770000,3.770000,12040800
2008-10-20,3.938333,4.198333,3.758333,4.191667,4.191667,10422000
2008-10-21,4.101667,4.496667,4.016667,4.016667,4.016667,11770200
2008-10-22,3.876667,4.200000,3.766667,3.900000,3.900000,9619800
2008-10-23,3.941667,4.100000,3.583333,3.813333,3.813333,20124000
2008-10-24,3.433333,3.666667,3.433333,3.520000,3.520000,9770400
2008-10-27,3.458333,3.716667,3.426667,3.500000,3.500000,6139200
2008-10-28,3.595000,4.010000,3.435000,4.006667,4.006667,9113400
2008-10-29,3.943333,4.121667,3.783333,3.985000,3.985000,6936000
2008-10-30,3.846667,4.313333,3.846667,4.241667,4.241667,9758400
2008-10-31,4.151667,4.441667,4.148333,4.220000,4.220000,7099200
2008-11-03,4.240000,4.466667,4.240000,4.273333,4.273333,7639800
2008-11-04,4.446667,4.460000,4.280000,4.338333,4.338333,8016600
2008-11-05,4.333333,4.380000,4.031667,4.048333,4.048333,6151200
2008-11-06,4.010000,4.123333,3.740000,3.835000,3.835000,10885800
2008-11-07,4.166667,4.270000,3.880000,4.150000,4.150000,14151600
2008-11-10,4.250000,4.306667,4.101667,4.290000,4.290000,5785800
2008-11-11,4.251667,4.430000,4.146667,4.285000,4.285000,7367400
2008-11-12,4.215000,4.271667,4.146667,4.180000,4.180000,7515600
2008-11-13,4.158333,4.395000,4.045000,4.380000,4.380000,10555800
2008-11-14,4.225000,4.483333,4.166667,4.226667,4.226667,14871000
2008-11-17,4.170000,4.345000,4.120000,4.153333,4.153333,8635800
2008-11-18,4.170000,4.261667,4.125000,4.250000,4.250000,11747400
2008-11-19,4.246667,4.365000,4.073333,4.078333,4.078333,10660200
2008-11-20,4.058333,4.253333,3.988333,4.011667,4.011667,13579200
2008-11-21,4.076667,4.161667,3.833333,4.096667,4.096667,14547000
2008-11-24,4.150000,4.301667,4.125000,4.225000,4.225000,12481800
2008-11-25,4.353333,4.658333,4.225000,4.608333,4.608333,14144400
2008-11-26,4.583333,4.995000,4.500000,4.906667,4.906667,12727800
2008-11-28,4.833333,4.983333,4.805000,4.958333,4.958333,3524400
2008-12-01,4.863333,4.876667,4.500000,4.510000,4.510000,12104400
2008-12-02,4.621667,4.751667,4.500000,4.693333,4.693333,8376600
2008-12-03,4.598333,4.718333,4.500000,4.636667,4.636667,13767000
2008-12-04,4.523333,4.893333,4.443333,4.561667,4.561667,13881600
2008-12-05,4.533333,4.948333,4.496667,4.926667,4.926667,8998800
2008-12-08,4.820000,5.000000,4.721667,4.758333,4.758333,12126600
2008-12-09,4.738333,4.900000,4.625000,4.743333,4.743333,9654600
2008-12-10,4.778333,4.891667,4.718333,4.795000,4.795000,5954400
2008-12-11,4.731667,4.878333,4.650000,4.683333,4.683333,13144800
2008-12-12,4.805000,4.913333,4.593333,4.878333,4.878333,6969000
2008-12-15,4.968333,5.025000,4.755000,4.803333,4.803333,11448000
2008-12-16,4.820000,5.125000,4.820000,5.068333,5.068333,11445000
2008-12-17,5.040000,5.415000,5.000000,5.373333,5.373333,21516600
