Date,Open,High,Low,Close,Adj Close,Volume
2008-08-08,2.850000,2.875000,2.740000,2.750000,2.525922,85376400
2008-08-11,2.770000,2.875000,2.760000,2.807500,2.578737,119643600
2008-08-12,2.830000,2.837500,2.727500,2.767500,2.541996,141086800
2008-08-13,2.987500,3.110000,2.915000,3.065000,2.815255,209526000
2008-08-14,3.042500,3.372500,3.042500,3.250000,2.985181,163530400
2008-08-15,3.307500,3.345000,3.217500,3.240000,2.975995,77765200
2008-08-18,3.262500,3.335000,3.227500,3.305000,3.035699,89396800
2008-08-19,3.237500,3.375000,3.237500,3.355000,3.081625,101414000
2008-08-20,3.405000,3.530000,3.380000,3.520000,3.233181,114369200
2008-08-21,3.457500,3.485000,3.335000,3.405000,3.127551,102156000
2008-08-22,3.430000,3.470000,3.330000,3.402500,3.125254,45926400
2008-08-25,3.382500,3.462500,3.342500,3.352500,3.079329,47160000
2008-08-26,3.370000,3.372500,3.237500,3.272500,3.005847,61311200
2008-08-27,3.197500,3.337500,3.167500,3.297500,3.028810,45462000
2008-08-28,3.302500,3.337500,3.252500,3.285000,3.017328,36519200
2008-08-29,3.240000,3.250000,3.150000,3.160000,2.902515,51600400
2008-09-02,3.212500,3.240000,3.037500,3.080000,2.829032,69392800
2008-09-03,3.037500,3.050000,2.887500,2.915000,2.677477,71485600
2008-09-04,2.882500,2.912500,2.857500,2.875000,2.640736,71612800
2008-09-05,2.850000,2.925000,2.847500,2.917500,2.679774,79110000
2008-09-08,2.945000,2.945000,2.750000,2.797500,2.569551,131484000
2008-09-09,2.787500,2.957500,2.692500,2.702500,2.482292,109829600
2008-09-10,2.735000,2.790000,2.687500,2.705000,2.484589,64428400
2008-09-11,2.550000,2.630000,2.490000,2.575000,2.365181,106697600
2008-09-12,2.552500,2.570000,2.402500,2.547500,2.339921,120920000
2008-09-15,2.457500,2.495000,2.295000,2.325000,2.135552,86398400
2008-09-16,2.242500,2.415000,2.200000,2.397500,2.202145,124084000
2008-09-17,2.342500,2.555000,2.320000,2.500000,2.296293,139258000
2008-09-18,2.530000,2.855000,2.525000,2.722500,2.500663,161106000
2008-09-19,2.852500,2.875000,2.725000,2.852500,2.620069,110734400
2008-09-22,2.830000,2.912500,2.777500,2.792500,2.564958,70007200
2008-09-23,2.770000,2.872500,2.702500,2.712500,2.491478,82146800
2008-09-24,2.677500,2.867500,2.662500,2.812500,2.583329,86603600
2008-09-25,2.812500,2.935000,2.765000,2.867500,2.633848,58832800
2008-09-26,2.797500,2.942500,2.745000,2.922500,2.684366,64685200
2008-09-29,2.845000,2.880000,2.500000,2.525000,2.319256,97524000
2008-09-30,2.565000,2.702500,2.537500,2.677500,2.459329,65904400
2008-10-01,2.637500,2.685000,2.555000,2.602500,2.390441,55720800
2008-10-02,2.620000,2.620000,2.320000,2.332500,2.142441,78772800
2008-10-03,2.370000,2.437500,2.242500,2.257500,2.073552,91582800
2008-10-06,2.150000,2.155000,1.827500,1.962500,1.802590,167744000
2008-10-07,2.032500,2.037500,1.795000,1.810000,1.662516,105998400
2008-10-08,1.745000,1.955000,1.727500,1.847500,1.696960,121945600
2008-10-09,1.915000,1.942500,1.710000,1.730000,1.589035,90963600
2008-10-10,1.580000,1.832500,1.570000,1.702500,1.563776,120025200
2008-10-13,1.847500,2.015000,1.825000,2.012500,1.848515,91653600
2008-10-14,2.087500,2.100000,1.912500,1.967500,1.807183,120901200
2008-10-15,1.955000,1.965000,1.755000,1.755000,1.611997,85406400
2008-10-16,1.807500,1.935000,1.725000,1.925000,1.768146,101982000
2008-10-17,1.870000,2.022500,1.835000,1.912500,1.756664,83941600
2008-10-20,1.977500,1.992500,1.902500,1.950000,1.791108,59576400
2008-10-21,1.912500,1.932500,1.790000,1.800000,1.653331,65911600
2008-10-22,1.775000,1.850000,1.685000,1.732500,1.591331,60099600
2008-10-23,1.727500,1.770000,1.565000,1.635000,1.501775,83219200
