Date,Open,High,Low,Close,Adj Close,Volume
2008-08-08,23.910000,24.875000,23.715000,24.750000,21.760773,683600
2008-08-11,24.650000,24.780001,24.469999,24.730000,21.743177,507600
2008-08-12,24.645000,24.975000,24.510000,24.725000,21.738792,353800
2008-08-13,24.674999,24.850000,24.344999,24.740000,21.751976,396400
2008-08-14,24.700001,25.139999,24.700001,25.030001,22.006952,500200
2008-08-15,25.450001,25.735001,25.075001,25.465000,22.389416,549000
2008-08-18,25.415001,25.424999,24.370001,24.650000,21.672846,444000
2008-08-19,24.500000,24.674999,24.264999,24.480000,21.523373,228000
2008-08-20,24.625000,24.680000,23.705000,24.035000,21.132120,623200
2008-08-21,23.875000,24.290001,23.780001,24.065001,21.158495,335200
2008-08-22,24.205000,24.715000,24.180000,24.549999,21.584921,282800
2008-08-25,24.485001,24.545000,23.850000,24.030001,21.127731,291600
2008-08-26,24.030001,24.795000,24.030001,24.469999,21.514589,376600
2008-08-27,24.424999,24.760000,24.270000,24.540001,21.576134,456600
2008-08-28,24.545000,25.299999,24.545000,25.049999,22.024532,714200
2008-08-29,24.860001,24.915001,24.264999,24.405001,21.457434,497400
2008-09-02,24.520000,25.045000,24.299999,24.870001,21.866276,319200
2008-09-03,24.815001,24.910000,24.275000,24.670000,21.690424,410200
2008-09-04,24.514999,24.820000,24.055000,24.150000,21.233234,378600
2008-09-05,24.209999,24.395000,24.004999,24.260000,21.329948,409000
2008-09-08,24.799999,25.315001,24.594999,25.049999,22.024532,584400
2008-09-09,25.105000,25.389999,24.860001,24.860001,21.857481,392800
2008-09-10,25.275000,25.434999,24.415001,24.975000,21.958590,503000
2008-09-11,24.875000,25.065001,24.440001,24.745001,21.756371,351400
2008-09-12,24.549999,24.549999,23.940001,24.150000,21.233234,803200
2008-09-15,24.150000,24.299999,23.690001,23.795000,20.921108,628800
2008-09-16,23.700001,24.809999,23.620001,24.809999,21.813528,518000
2008-09-17,24.645000,24.725000,23.975000,24.055000,21.149708,648000
2008-09-18,24.565001,25.965000,24.290001,24.754999,21.765162,1863200
2008-09-19,25.740000,26.000000,24.650000,25.830000,22.710329,1222800
2008-09-22,25.655001,25.700001,25.030001,25.215000,22.169601,424000
2008-09-23,25.174999,25.370001,24.514999,24.635000,21.659660,664200
2008-09-24,24.709999,25.000000,24.594999,24.820000,21.822311,395200
2008-09-25,24.920000,25.260000,24.879999,25.020000,21.998156,497000
2008-09-26,24.705000,25.325001,24.610001,25.240000,22.191586,399600
2008-09-29,25.075001,25.350000,24.660000,24.680000,21.699221,434400
2008-09-30,24.850000,24.850000,24.045000,24.410000,21.461830,503000
2008-10-01,24.125000,24.799999,24.125000,24.639999,21.664051,434800
2008-10-02,24.500000,24.500000,22.850000,23.165001,20.367207,777000
2008-10-03,23.350000,23.559999,22.250000,22.264999,19.575899,623800
2008-10-06,21.580000,22.195000,21.219999,22.045000,19.382473,979800
2008-10-07,22.309999,22.940001,21.635000,21.785000,19.153877,616600
2008-10-08,21.235001,21.875000,20.785000,21.150000,18.595566,775600
2008-10-09,21.150000,21.445000,19.100000,19.254999,16.929440,770600
2008-10-10,18.584999,23.674999,18.325001,19.469999,17.118467,1114200
2008-10-13,20.295000,21.075001,19.975000,21.075001,18.529615,350400
2008-10-14,21.645000,21.645000,19.934999,20.355000,17.896576,561800
2008-10-15,20.365000,20.365000,19.450001,19.465000,17.114073,553600
2008-10-16,19.405001,20.959999,18.940001,20.670000,18.173527,639400
2008-10-17,20.264999,21.070000,19.900000,20.195000,17.755903,432200
2008-10-20,20.459999,21.555000,20.090000,21.485001,18.960526,584400
2008-10-21,21.455000,21.455000,20.670000,20.719999,18.285406,441600
2008-10-22,20.344999,20.959999,19.695000,19.900000,17.561762,529000
2008-10-23,20.094999,20.094999,18.889999,19.725000,17.407318,696800
2008-10-24,18.559999,19.625000,18.559999,18.934999,16.710140,892800
2008-10-27,18.780001,19.209999,18.180000,18.180000,16.043858,726600
2008-10-28,18.520000,18.520000,17.620001,18.500000,16.326254,721800
2008-10-29,18.530001,19.735001,18.350000,18.915001,16.692495,587000
2008-10-30,19.275000,19.480000,18.905001,19.219999,16.961657,499800
2008-10-31,19.075001,20.115000,19.059999,19.959999,17.614708,508600
2008-11-03,19.920000,20.730000,19.865000,20.080000,17.720604,652600
2008-11-04,19.155001,19.690001,18.424999,18.500000,16.326254,1003200
2008-11-05,18.275000,18.889999,17.940001,18.025000,15.907067,629200
2008-11-06,17.934999,18.250000,17.665001,17.870001,15.770283,594000
2008-11-07,17.965000,18.360001,17.684999,17.895000,15.792344,515000
2008-11-10,18.260000,18.260000,17.559999,17.695000,15.615840,463000
2008-11-11,17.575001,18.040001,17.490000,17.490000,15.434930,415800
2008-11-12,17.455000,17.790001,17.010000,17.020000,15.020151,421800
2008-11-13,17.084999,18.090000,16.125000,18.090000,15.964431,556800
2008-11-14,17.860001,18.420000,17.559999,17.580000,15.514355,525200
2008-11-17,17.315001,17.930000,17.290001,17.545000,15.483467,390800
2008-11-18,17.555000,18.150000,17.260000,17.665001,15.589368,454400
2008-11-19,17.570000,18.065001,16.764999,16.850000,14.870131,712800
2008-11-20,16.700001,16.910000,15.545000,15.565000,13.736117,531000
2008-11-21,15.785000,15.865000,14.760000,15.830000,13.969981,1079000
2008-11-24,16.045000,17.490000,15.810000,17.389999,15.346679,812600
2008-11-25,17.504999,17.535000,16.639999,17.055000,15.051044,942200
2008-11-26,16.745001,17.610001,16.660000,17.565001,15.501123,438200
2008-11-28,17.450001,17.834999,17.209999,17.750000,15.664381,89400
2008-12-01,17.385000,17.565001,16.424999,16.520000,14.578907,597000
2008-12-02,16.660000,17.110001,16.500000,17.105000,15.095166,450600
2008-12-03,16.809999,17.764999,16.809999,17.450001,15.399632,509400
2008-12-04,17.309999,17.725000,16.959999,17.355000,15.315788,558000
2008-12-05,17.174999,18.290001,16.750000,18.270000,16.123280,493400
2008-12-08,18.545000,19.070000,18.514999,18.815001,16.604244,531400
2008-12-09,18.645000,19.105000,18.344999,18.420000,16.255651,721600
2008-12-10,18.650000,19.195000,18.325001,18.625000,16.436573,305200
2008-12-11,18.415001,18.785000,18.030001,18.215000,16.074749,371800
2008-12-12,17.945000,18.205000,17.674999,18.000000,15.885008,458200
2008-12-15,18.049999,18.325001,17.389999,17.635000,15.562893,789200
2008-12-16,17.795000,18.750000,17.754999,18.719999,16.520405,463400
2008-12-17,18.500000,19.035000,18.469999,18.895000,16.674847,393600
2008-12-18,18.805000,19.530001,18.764999,19.084999,16.842524,355800
2008-12-19,19.245001,19.655001,18.670000,18.815001,16.604244,1045600
2008-12-22,18.860001,18.865000,17.709999,18.225000,16.083574,880800
2008-12-23,18.375000,18.455000,17.775000,17.955000,15.845295,480400
2008-12-24,17.969999,18.120001,17.770000,17.945000,15.836468,183600
2008-12-26,18.000000,18.415001,18.000000,18.334999,16.180647,245000
2008-12-29,18.334999,18.334999,17.830000,17.950001,15.840888,440200
2008-12-30,18.145000,18.815001,18.040001,18.815001,16.604244,267600
2008-12-31,18.875000,19.065001,18.610001,18.885000,16.666021,692000
2009-01-02,18.910000,19.170000,18.430000,19.055000,16.816046,397000
